Series_Title,Genre,Rating,No_of_Votes,Weighted Rating,Rating Anomalies
Gladiator,Drama,8.5,1341460,11402410.0,Yes
American History X,Drama,8.5,1034705,8794992.5,Yes
The Usual Suspects,Crime,8.5,991208,8425268.0,Yes
The Usual Suspects,Mystery,8.5,991208,8425268.0,Yes
The Usual Suspects,Thriller,8.5,991208,8425268.0,Yes
Léon,Action,8.5,1035236,8799506.0,Yes
Léon,Crime,8.5,1035236,8799506.0,Yes
Léon,Drama,8.5,1035236,8799506.0,Yes
The Lion King,Animation,8.5,942045,8007382.5,Yes
The Lion King,Adventure,8.5,942045,8007382.5,Yes
The Lion King,Drama,8.5,942045,8007382.5,Yes
Terminator 2: Judgment Day,Action,8.5,995506,8461801.0,Yes
Terminator 2: Judgment Day,Sci-Fi,8.5,995506,8461801.0,Yes
Nuovo Cinema Paradiso,Drama,8.5,230763,1961485.5,Yes
Nuovo Cinema Paradiso,Romance,8.5,230763,1961485.5,Yes
Hotaru no haka,Animation,8.5,235231,1999463.5,Yes
Hotaru no haka,Drama,8.5,235231,1999463.5,Yes
Hotaru no haka,War,8.5,235231,1999463.5,Yes
Back to the Future,Adventure,8.5,1058081,8993688.5,Yes
Back to the Future,Comedy,8.5,1058081,8993688.5,Yes
Back to the Future,Sci-Fi,8.5,1058081,8993688.5,Yes
Once Upon a Time in the West,Western,8.5,302844,2574174.0,Yes
Psycho,Horror,8.5,604211,5135793.5,Yes
Psycho,Mystery,8.5,604211,5135793.5,Yes
Psycho,Thriller,8.5,604211,5135793.5,Yes
Casablanca,Drama,8.5,522093,4437790.5,Yes
Casablanca,Romance,8.5,522093,4437790.5,Yes
Casablanca,War,8.5,522093,4437790.5,Yes
Modern Times,Comedy,8.5,217881,1851988.5,Yes
Modern Times,Drama,8.5,217881,1851988.5,Yes
Modern Times,Family,8.5,217881,1851988.5,Yes
City Lights,Comedy,8.5,167839,1426631.5,Yes
City Lights,Drama,8.5,167839,1426631.5,Yes
City Lights,Romance,8.5,167839,1426631.5,Yes
Capharnaüm,Drama,8.4,62635,526134.0,No
Ayla: The Daughter of War,Biography,8.4,34112,286540.8,No
Ayla: The Daughter of War,Drama,8.4,34112,286540.8,No
Ayla: The Daughter of War,History,8.4,34112,286540.8,No
Vikram Vedha,Action,8.4,28401,238568.40000000002,No
Vikram Vedha,Crime,8.4,28401,238568.40000000002,No
Vikram Vedha,Drama,8.4,28401,238568.40000000002,No
Kimi no na wa.,Animation,8.4,194838,1636639.2,No
Kimi no na wa.,Drama,8.4,194838,1636639.2,No
Kimi no na wa.,Fantasy,8.4,194838,1636639.2,No
Dangal,Action,8.4,156479,1314423.6,No
Dangal,Biography,8.4,156479,1314423.6,No
Dangal,Drama,8.4,156479,1314423.6,No
Spider-Man: Into the Spider-Verse,Animation,8.4,375110,3150924.0,No
Spider-Man: Into the Spider-Verse,Action,8.4,375110,3150924.0,No
Spider-Man: Into the Spider-Verse,Adventure,8.4,375110,3150924.0,No
Avengers: Endgame,Action,8.4,809955,6803622.0,No
Avengers: Endgame,Adventure,8.4,809955,6803622.0,No
Avengers: Endgame,Drama,8.4,809955,6803622.0,No
Avengers: Infinity War,Action,8.4,834477,7009606.800000001,No
Avengers: Infinity War,Adventure,8.4,834477,7009606.800000001,No
Avengers: Infinity War,Sci-Fi,8.4,834477,7009606.800000001,No
Coco,Animation,8.4,384171,3227036.4,No
Coco,Adventure,8.4,384171,3227036.4,No
Coco,Family,8.4,384171,3227036.4,No
Django Unchained,Drama,8.4,1357682,11404528.8,No
Django Unchained,Western,8.4,1357682,11404528.8,No
The Dark Knight Rises,Action,8.4,1516346,12737306.4,No
The Dark Knight Rises,Adventure,8.4,1516346,12737306.4,No
3 Idiots,Comedy,8.4,344445,2893338.0,No
3 Idiots,Drama,8.4,344445,2893338.0,No
Taare Zameen Par,Drama,8.4,168895,1418718.0,No
Taare Zameen Par,Family,8.4,168895,1418718.0,No
WALL·E,Animation,8.4,999790,8398236.0,No
WALL·E,Adventure,8.4,999790,8398236.0,No
WALL·E,Family,8.4,999790,8398236.0,No
The Lives of Others,Drama,8.4,358685,3012954.0,No
The Lives of Others,Mystery,8.4,358685,3012954.0,No
The Lives of Others,Thriller,8.4,358685,3012954.0,No
Oldeuboi,Action,8.4,515451,4329788.4,No
Oldeuboi,Drama,8.4,515451,4329788.4,No
Oldeuboi,Mystery,8.4,515451,4329788.4,No
Memento,Mystery,8.4,1125712,9455980.8,No
Memento,Thriller,8.4,1125712,9455980.8,No
Mononoke-hime,Animation,8.4,343171,2882636.4,No
Mononoke-hime,Action,8.4,343171,2882636.4,No
Mononoke-hime,Adventure,8.4,343171,2882636.4,No
Once Upon a Time in America,Crime,8.4,311365,2615466.0,No
Once Upon a Time in America,Drama,8.4,311365,2615466.0,No
Raiders of the Lost Ark,Action,8.4,884112,7426540.800000001,No
Raiders of the Lost Ark,Adventure,8.4,884112,7426540.800000001,No
The Shining,Drama,8.4,898237,7545190.800000001,No
The Shining,Horror,8.4,898237,7545190.800000001,No
Apocalypse Now,Drama,8.4,606398,5093743.2,No
Apocalypse Now,Mystery,8.4,606398,5093743.2,No
Apocalypse Now,War,8.4,606398,5093743.2,No
Alien,Horror,8.4,787806,6617570.4,No
Alien,Sci-Fi,8.4,787806,6617570.4,No
Anand,Drama,8.4,30273,254293.2,No
Anand,Musical,8.4,30273,254293.2,No
Tengoku to jigoku,Crime,8.4,34357,288598.8,No
Tengoku to jigoku,Drama,8.4,34357,288598.8,No
Tengoku to jigoku,Mystery,8.4,34357,288598.8,No
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8.4,450474,3783981.6,No
Witness for the Prosecution,Crime,8.4,108862,914440.8,No
Witness for the Prosecution,Drama,8.4,108862,914440.8,No
Witness for the Prosecution,Mystery,8.4,108862,914440.8,No
Paths of Glory,Drama,8.4,178092,1495972.8,No
Paths of Glory,War,8.4,178092,1495972.8,No
Rear Window,Mystery,8.4,444074,3730221.6,No
Rear Window,Thriller,8.4,444074,3730221.6,No
Sunset Blvd.,Drama,8.4,201632,1693708.8,No
Sunset Blvd.,Film-Noir,8.4,201632,1693708.8,No
The Great Dictator,Comedy,8.4,203150,1706460.0,No
The Great Dictator,Drama,8.4,203150,1706460.0,No
The Great Dictator,War,8.4,203150,1706460.0,No
1917,Drama,8.3,425844,3534505.2,No
1917,Thriller,8.3,425844,3534505.2,No
1917,War,8.3,425844,3534505.2,No
Tumbbad,Drama,8.3,27793,230681.90000000002,No
Tumbbad,Fantasy,8.3,27793,230681.90000000002,No
Tumbbad,Horror,8.3,27793,230681.90000000002,No
Andhadhun,Crime,8.3,71875,596562.5,No
Andhadhun,Drama,8.3,71875,596562.5,No
Andhadhun,Music,8.3,71875,596562.5,No
Drishyam,Crime,8.3,30722,254992.60000000003,No
Drishyam,Drama,8.3,30722,254992.60000000003,No
Drishyam,Thriller,8.3,30722,254992.60000000003,No
Jagten,Drama,8.3,281623,2337470.9000000004,No
Jodaeiye Nader az Simin,Drama,8.3,220002,1826016.6,No
Incendies,Drama,8.3,150023,1245190.9000000001,No
Incendies,Mystery,8.3,150023,1245190.9000000001,No
Incendies,War,8.3,150023,1245190.9000000001,No
Miracle in cell NO.7,Drama,8.3,33935,281660.5,No
Babam ve Oglum,Drama,8.3,78925,655077.5,No
Babam ve Oglum,Family,8.3,78925,655077.5,No
Inglourious Basterds,Adventure,8.3,1267869,10523312.700000001,No
Inglourious Basterds,Drama,8.3,1267869,10523312.700000001,No
Inglourious Basterds,War,8.3,1267869,10523312.700000001,No
Eternal Sunshine of the Spotless Mind,Drama,8.3,911664,7566811.2,No
Eternal Sunshine of the Spotless Mind,Romance,8.3,911664,7566811.2,No
Eternal Sunshine of the Spotless Mind,Sci-Fi,8.3,911664,7566811.2,No
Amélie,Comedy,8.3,703810,5841623.000000001,No
Amélie,Romance,8.3,703810,5841623.000000001,No
Snatch,Comedy,8.3,782001,6490608.300000001,No
Snatch,Crime,8.3,782001,6490608.300000001,No
Requiem for a Dream,Drama,8.3,766870,6365021.000000001,No
American Beauty,Drama,8.3,1069738,8878825.4,No
Good Will Hunting,Drama,8.3,861606,7151329.800000001,No
Good Will Hunting,Romance,8.3,861606,7151329.800000001,No
Bacheha-Ye aseman,Drama,8.3,65341,542330.3,No
Bacheha-Ye aseman,Family,8.3,65341,542330.3,No
Bacheha-Ye aseman,Sport,8.3,65341,542330.3,No
Toy Story,Animation,8.3,887429,7365660.7,No
Toy Story,Adventure,8.3,887429,7365660.7,No
Toy Story,Comedy,8.3,887429,7365660.7,No
Braveheart,Biography,8.3,959181,7961202.300000001,No
Braveheart,Drama,8.3,959181,7961202.300000001,No
Braveheart,History,8.3,959181,7961202.300000001,No
Reservoir Dogs,Crime,8.3,918562,7624064.600000001,No
Reservoir Dogs,Drama,8.3,918562,7624064.600000001,No
Reservoir Dogs,Thriller,8.3,918562,7624064.600000001,No
Full Metal Jacket,Drama,8.3,675146,5603711.800000001,No
Full Metal Jacket,War,8.3,675146,5603711.800000001,No
Idi i smotri,Drama,8.3,59056,490164.80000000005,No
Idi i smotri,Thriller,8.3,59056,490164.80000000005,No
Idi i smotri,War,8.3,59056,490164.80000000005,No
Aliens,Action,8.3,652719,5417567.7,No
Aliens,Adventure,8.3,652719,5417567.7,No
Aliens,Sci-Fi,8.3,652719,5417567.7,No
Amadeus,Biography,8.3,369007,3062758.1,No
Amadeus,Drama,8.3,369007,3062758.1,No
Amadeus,History,8.3,369007,3062758.1,No
Scarface,Crime,8.3,740911,6149561.300000001,No
Scarface,Drama,8.3,740911,6149561.300000001,No
Star Wars: Episode VI - Return of the Jedi,Action,8.3,950470,7888901.000000001,No
Star Wars: Episode VI - Return of the Jedi,Adventure,8.3,950470,7888901.000000001,No
Star Wars: Episode VI - Return of the Jedi,Fantasy,8.3,950470,7888901.000000001,No
Das Boot,Adventure,8.3,231855,1924396.5000000002,No
Das Boot,Drama,8.3,231855,1924396.5000000002,No
Das Boot,Thriller,8.3,231855,1924396.5000000002,No
Taxi Driver,Crime,8.3,724636,6014478.800000001,No
Taxi Driver,Drama,8.3,724636,6014478.800000001,No
The Sting,Comedy,8.3,241513,2004557.9000000001,No
The Sting,Crime,8.3,241513,2004557.9000000001,No
The Sting,Drama,8.3,241513,2004557.9000000001,No
A Clockwork Orange,Crime,8.3,757904,6290603.2,No
A Clockwork Orange,Drama,8.3,757904,6290603.2,No
A Clockwork Orange,Sci-Fi,8.3,757904,6290603.2,No
2001: A Space Odyssey,Adventure,8.3,603517,5009191.100000001,No
2001: A Space Odyssey,Sci-Fi,8.3,603517,5009191.100000001,No
Per qualche dollaro in più,Western,8.3,232772,1932007.6,No
Lawrence of Arabia,Adventure,8.3,268085,2225105.5,No
Lawrence of Arabia,Biography,8.3,268085,2225105.5,No
Lawrence of Arabia,Drama,8.3,268085,2225105.5,No
The Apartment,Comedy,8.3,164363,1364212.9000000001,No
The Apartment,Drama,8.3,164363,1364212.9000000001,No
The Apartment,Romance,8.3,164363,1364212.9000000001,No
North by Northwest,Adventure,8.3,299198,2483343.4000000004,No
North by Northwest,Mystery,8.3,299198,2483343.4000000004,No
North by Northwest,Thriller,8.3,299198,2483343.4000000004,No
Vertigo,Mystery,8.3,364368,3024254.4000000004,No
Vertigo,Romance,8.3,364368,3024254.4000000004,No
Vertigo,Thriller,8.3,364368,3024254.4000000004,No
Singin' in the Rain,Comedy,8.3,218957,1817343.1,No
Singin' in the Rain,Musical,8.3,218957,1817343.1,No
Singin' in the Rain,Romance,8.3,218957,1817343.1,No
Ikiru,Drama,8.3,68463,568242.9,No
Ladri di biciclette,Drama,8.3,146427,1215344.1,No
Double Indemnity,Crime,8.3,143525,1191257.5,No
Double Indemnity,Drama,8.3,143525,1191257.5,No
Double Indemnity,Film-Noir,8.3,143525,1191257.5,No
Citizen Kane,Drama,8.3,403351,3347813.3000000003,No
Citizen Kane,Mystery,8.3,403351,3347813.3000000003,No
M - Eine Stadt sucht einen Mörder,Crime,8.3,143434,1190502.2000000002,No
M - Eine Stadt sucht einen Mörder,Mystery,8.3,143434,1190502.2000000002,No
M - Eine Stadt sucht einen Mörder,Thriller,8.3,143434,1190502.2000000002,No
Metropolis,Drama,8.3,159992,1327933.6,No
Metropolis,Sci-Fi,8.3,159992,1327933.6,No
The Kid,Comedy,8.3,113314,940506.2000000001,No
The Kid,Drama,8.3,113314,940506.2000000001,No
The Kid,Family,8.3,113314,940506.2000000001,No
Chhichhore,Comedy,8.2,33893,277922.6,No
Chhichhore,Drama,8.2,33893,277922.6,No
Uri: The Surgical Strike,Action,8.2,43444,356240.8,No
